date,shift,machineName,sizeCode,startTime,endTime,scheduleQuantity,remarks,runTime,changeOverStartTime,changeOverEndTime,availableMoulds,runningMoulds,roundsPerMould,curingPotential,ctb,gtInventory,coverage,curingScheduleQuantity,description,machineId,createdAt,createdBy
2026-04-03,C,4803,1225219Z15008SXC11,2026-04-03 23:00:00,2026-04-04 07:00:00,35,Continuity (Penetration 103%),480,,,0,2,17,35,0,0,,35,195 R15 ULTIMA XPC1 AL,e7f5decb-0b20-11f1-ae56-6ecb38cdd2a0,2026-04-14 11:09:09,Algo8 AI Schedule
2026-04-04,A,4803,1225219Z15008SXC11,2026-04-04 07:00:00,2026-04-04 15:00:00,35,Continuity (Penetration 103%),480,,,0,2,17,35,0,0,,35,195 R15 ULTIMA XPC1 AL,e7f5decb-0b20-11f1-ae56-6ecb38cdd2a0,2026-04-14 11:09:09,Algo8 AI Schedule
2026-04-04,B,4803,1225219Z15008SXC11,2026-04-04 15:00:00,2026-04-04 23:00:00,35,Continuity (Penetration 103%),480,,,0,2,17,35,0,0,,35,195 R15 ULTIMA XPC1 AL,e7f5decb-0b20-11f1-ae56-6ecb38cdd2a0,2026-04-14 11:09:09,Algo8 AI Schedule
2026-04-04,C,4803,1225219Z15008SXC11,2026-04-04 23:00:00,2026-04-05 07:00:00,35,Continuity (Penetration 103%),480,,,0,2,17,35,0,0,,35,195 R15 ULTIMA XPC1 AL,e7f5decb-0b20-11f1-ae56-6ecb38cdd2a0,2026-04-14 11:09:09,Algo8 AI Schedule
2026-04-05,A,4803,1225219Z15008SXC11,2026-04-05 07:00:00,2026-04-05 15:00:00,35,Continuity (Penetration 103%),480,,,0,2,17,35,0,0,,35,195 R15 ULTIMA XPC1 AL,e7f5decb-0b20-11f1-ae56-6ecb38cdd2a0,2026-04-14 11:09:09,Algo8 AI Schedule
2026-04-05,B,4803,1225219Z15008SXC11,2026-04-05 15:00:00,2026-04-05 23:00:00,35,Continuity (Penetration 103%),480,,,0,2,17,35,0,0,,35,195 R15 ULTIMA XPC1 AL,e7f5decb-0b20-11f1-ae56-6ecb38cdd2a0,2026-04-14 11:09:09,Algo8 AI Schedule
2026-04-05,C,4803,1225219Z15008SXC11,2026-04-05 23:00:00,2026-04-06 07:00:00,35,Continuity (Penetration 103%),480,,,0,2,17,35,0,0,,35,195 R15 ULTIMA XPC1 AL,e7f5decb-0b20-11f1-ae56-6ecb38cdd2a0,2026-04-14 11:09:09,Algo8 AI Schedule
2026-04-06,A,4803,1225219Z15008SXC11,2026-04-06 07:00:00,2026-04-06 15:00:00,35,Continuity (Penetration 103%),480,,,0,2,17,35,0,0,,35,195 R15 ULTIMA XPC1 AL,e7f5decb-0b20-11f1-ae56-6ecb38cdd2a0,2026-04-14 11:09:09,Algo8 AI Schedule
2026-04-06,B,4803,1225219Z15008SXC11,2026-04-06 15:00:00,2026-04-06 23:00:00,35,Continuity (Penetration 103%),480,,,0,2,17,35,0,0,,35,195 R15 ULTIMA XPC1 AL,e7f5decb-0b20-11f1-ae56-6ecb38cdd2a0,2026-04-14 11:09:09,Algo8 AI Schedule
2026-04-06,C,4803,1225219Z15008SXC11,2026-04-06 23:00:00,2026-04-07 07:00:00,35,Continuity (Penetration 103%),480,,,0,2,17,35,0,0,,35,195 R15 ULTIMA XPC1 AL,e7f5decb-0b20-11f1-ae56-6ecb38cdd2a0,2026-04-14 11:09:09,Algo8 AI Schedule
