product_code,line_class,build_cycle_sec,source
1325224018097WUX10,PCR,74.2,GTCT TBR PCR 1.xlsx
1325224118100YLEV0,PCR,74.2,GTCT TBR PCR 1.xlsx
1325224118100WUX10,PCR,74.2,GTCT TBR PCR 1.xlsx
1122175020014KUH50,TBR,187.0,GTCT TBR PCR 1.xlsx
1121182020016KDEP0,TBR,189.2,GTCT TBR PCR 1.xlsx
1121182020016KDH30,TBR,189.2,GTCT TBR PCR 1.xlsx
1122182020016KH3P0,TBR,189.2,GTCT TBR PCR 1.xlsx
1122182020016KUH50,TBR,189.2,GTCT TBR PCR 1.xlsx
1152182020016KH3PV,TBR,189.2,GTCT TBR PCR 1.xlsx
1121190020016KDEP0,TBR,189.2,GTCT TBR PCR 1.xlsx
1121190020016KJDH0,TBR,189.2,GTCT TBR PCR 1.xlsx
1123190020016KJC20,TBR,189.2,GTCT TBR PCR 1.xlsx
1122190020014KJH30,TBR,187.0,GTCT TBR PCR 1.xlsx
1122190020016KUH50,TBR,189.2,GTCT TBR PCR 1.xlsx
1121110020016KDC30,TBR,202.4,GTCT TBR PCR 1.xlsx
1121110020016KJDE0,TBR,202.4,GTCT TBR PCR 1.xlsx
1121110020016KDH30,TBR,202.4,GTCT TBR PCR 1.xlsx
1123110020016KJC30,TBR,202.4,GTCT TBR PCR 1.xlsx
1122110020016KH3P0,TBR,194.7,GTCT TBR PCR 1.xlsx
1122110020016KUH50,TBR,202.4,GTCT TBR PCR 1.xlsx
1121110020018KJDE0,TBR,202.4,GTCT TBR PCR 1.xlsx
1123110020016K3021,TBR,202.4,GTCT TBR PCR 1.xlsx
1121110020016KCDH0,TBR,198.0,GTCT TBR PCR 1.xlsx
1153110020016KCDUC,TBR,198.0,GTCT TBR PCR 1.xlsx
1123110020016KCUC0,TBR,198.0,GTCT TBR PCR 1.xlsx
1123110020016KJUC0,TBR,202.4,GTCT TBR PCR 1.xlsx
1152110020016KCUXC,TBR,202.4,GTCT TBR PCR 1.xlsx
1121129A20152JCXD0,TBR,202.4,GTCT TBR PCR 1.xlsx
1122129A20152JULF0,TBR,202.4,GTCT TBR PCR 1.xlsx
1121129A20152JDLF0,TBR,202.4,GTCT TBR PCR 1.xlsx
1121129A20152JLM20,TBR,202.4,GTCT TBR PCR 1.xlsx
1121111020016KJDH0,TBR,202.4,GTCT TBR PCR 1.xlsx
1122111020016KJH30,TBR,202.4,GTCT TBR PCR 1.xlsx
1122111020016KUH50,TBR,202.4,GTCT TBR PCR 1.xlsx
1121111020016KDEP0,TBR,202.4,GTCT TBR PCR 1.xlsx
1123111020016KJC30,TBR,202.4,GTCT TBR PCR 1.xlsx
1121111020016KCXD0,TBR,202.4,GTCT TBR PCR 1.xlsx
115221102C016JJUX0,TBR,200.2,GTCT TBR PCR 1.xlsx
115221102C016MJUH0,TBR,200.2,GTCT TBR PCR 1.xlsx
